edge_tail,edge_head,length,capacity,speed
1,2,1.794821,99999,0
2,1,1.794821,99999,0
2,43,1.209335,1201,0
3,4,0.723172,99999,0
3,6572,1.589523,99999,0
4,3,0.723172,99999,0
4,4520,2.904919,5000,0
4,6572,2.350697,1201,0
5,6,0.772194,4250,0
5,1974,0.223346,4250,0
5,1976,0.035727,1201,0
6,5,0.772194,4250,0
6,4533,0.254581,4250,0
6,4555,1.038391,99999,0
7,8,0.193364,1201,0
7,3657,0.557528,1201,0
7,3658,0.185119,99999,0
8,7,0.193364,1201,0
8,9,0.357846,1201,0
8,52,0.309764,1201,0
9,8,0.357846,1201,0
9,54,0.283793,99999,0
9,3674,0.548412,1201,0
10,11,0.414162,14025,0
11,13,0.111396,3188,0
11,4950,0.307303,14025,0
12,13,0.540866,4250,0
12,14,0.403209,99999,0
12,3844,0.02674,1201,0
13,4952,0.218119,4250,0
14,12,0.403209,99999,0
14,15,0.496062,99999,0
14,3840,0.595052,99999,0
15,14,0.496062,99999,0
15,5003,0.153571,4250,0
15,5004,0.358378,2161,0
16,17,0.084415,4250,0
16,65,0.112025,4250,0
16,3196,0.203083,4250,0
17,16,0.084415,4250,0
17,61,0.517824,4250,0
17,4923,0.410022,4250,0
18,19,0.258323,99999,0
18,69,0.712817,99999,0
18,4138,0.619111,99999,0
19,18,0.258323,99999,0
19,70,0.09,6027,0
19,3671,0.370578,6027,0
20,21,0.038726,4250,0
20,4262,0.064035,4250,0
20,4263,0.059005,6027,0
20,7376,0.079072,6027,0
21,20,0.038726,4250,0
21,5120,0.506624,4250,0
22,23,0.515036,99999,0
22,4244,0.918204,99999,0
22,4245,0.68366,99999,0
23,22,0.515036,99999,0
23,141,0.713578,2161,0
23,4845,0.340252,2161,0
24,25,2.55011,99999,0
24,6502,1.07691,99999,0
25,24,2.55011,99999,0
25,26,0.435796,2161,0
25,5792,2.179054,2161,0
26,25,0.435796,2161,0
26,4302,2.958584,2161,0
26,4303,0.89319,99999,0
27,28,1.208086,1201,0
27,4368,0.620377,2161,0
27,4371,0.226843,2161,0
28,27,1.208086,1201,0
28,5443,1.225944,99999,0
28,5445,0.452649,1201,0
29,30,1.710507,1201,0
29,4378,0.369187,1201,0
29,4379,0.255822,1201,0
30,29,1.710507,1201,0
30,5501,0.791553,1201,0
30,5503,0.27973,1201,0
31,32,0.81181,1201,0
31,4391,0.227777,1201,0
31,4392,0.287845,1201,0
31,6584,1.452763,1201,0
32,31,0.81181,1201,0
32,104,0.740284,99999,0
32,5816,0.866493,1201,0
32,5818,0.794825,1201,0
33,34,0.502611,1201,0
33,4327,0.731803,99999,0
33,4393,0.502029,1201,0
34,33,0.502611,1201,0
34,5798,1.161769,1201,0
34,5823,0.0978,1201,0
35,36,0.657975,99999,0
36,35,0.657975,99999,0
36,79,0.088385,1201,0
36,5505,0.039569,1201,0
37,38,0.957436,1201,0
37,4397,0.79072,1201,0
37,4403,0.69523,1201,0
38,37,0.957436,1201,0
38,39,0.856212,1201,0
39,38,0.856212,1201,0
39,40,0.869995,1201,0
39,105,1.209603,99999,0
39,4407,0.775227,1201,0
40,39,0.869995,1201,0
40,106,0.149896,1201,0
40,108,0.950728,1201,0
41,42,2.367215,3825,0
41,4412,1.666963,99999,0
41,4413,1.375986,3825,0
42,41,2.367215,3825,0
42,393,1.441222,3825,0
42,395,1.228589,1201,0
43,2,1.209335,1201,0
43,159,2.891839,1201,0
43,395,1.14033,1201,0
44,45,1.626319,99999,0
45,44,1.626319,99999,0
45,1452,1.81891,4250,0
45,1559,0.633403,4250,0
46,47,1.034376,99999,0
47,46,1.034376,99999,0
47,2005,1.075868,1201,0
48,49,3.027415,1201,0
48,4495,3.822958,1201,0
48,4528,2.166292,1201,0
49,48,3.027415,1201,0
49,1974,0.040548,1201,0
50,51,1.021292,1201,0
50,4588,0.907707,99999,0
50,4596,0.082826,1201,0
51,50,1.021292,1201,0
51,823,0.053298,1201,0
51,2113,0.374148,99999,0
52,8,0.309764,1201,0
52,53,0.509402,1201,0
52,4980,0.605991,99999,0
53,52,0.509402,1201,0
53,884,0.360206,99999,0
53,3657,0.613932,1201,0
53,3658,0.282394,99999,0
54,9,0.283793,99999,0
54,55,0.585656,99999,0
55,54,0.585656,99999,0
55,56,0.149604,4250,0
55,4990,0.570612,4250,0
56,55,0.149604,4250,0
56,58,0.136035,2401,0
56,3600,0.497477,4250,0
56,3674,0.179748,1201,0
57,58,0.451157,4250,0
57,59,0.068251,3188,0
58,56,0.136035,2401,0
58,3843,0.345177,4250,0
58,3844,0.030059,1201,0
59,60,0.377106,14025,0
60,3836,0.177181,14025,0
61,3786,0.1695,3188,0
61,3851,0.773796,4250,0
62,63,0.432452,14025,0
63,3786,0.31916,14025,0
64,66,0.109797,3188,0
64,140,0.257154,4250,0
65,64,0.122488,4250,0
65,3197,0.039214,4250,0
66,5086,0.228423,14025,0
67,66,0.264083,14025,0
68,69,0.423876,99999,0
68,3597,0.43814,99999,0
69,18,0.712817,99999,0
69,68,0.423876,99999,0
69,137,0.173555,4250,0
69,138,0.49362,961,0
69,4218,0.668515,4250,0
70,19,0.09,6027,0
70,7376,0.284616,6027,0
71,72,0.285785,4250,0
72,4264,0.023119,4250,0
73,71,0.0916,3188,0
73,74,0.696317,14025,0
74,4242,0.477179,14025,0
75,5111,0.428889,14025,0
76,75,0.538039,14025,0
77,75,0.099074,3188,0
77,5121,0.564666,4250,0
78,77,0.329182,4250,0
79,36,0.088385,1201,0
79,4400,1.054937,1201,0
80,81,0.283573,1201,0
80,5493,1.270358,1201,0
80,5509,0.360648,1201,0
81,80,0.283573,1201,0
81,6485,0.329769,1201,0
82,83,0.902947,1201,0
82,120,1.515364,1201,0
82,5516,0.987594,1201,0
